Surface_habitable_logement,Coût_total_5_usages,Coût_ECS,Coût_chauffage,Coût_éclairage,Coût_auxiliaires,Coût_refroidissement,Etiquette_DPE
93.6,1090.8,325.6,694.2,30.0,40.9,0.0,C
32.8,643.5,226.5,267.1,21.1,128.8,0.0,C
78.0,2779.0,248.6,2417.1,42.1,71.2,0.0,G
27.8,719.0,283.4,426.1,9.4,0.0,0.0,E
27.6,660.6,252.0,399.0,9.5,0.0,0.0,E
65.5,1194.3,370.4,730.2,26.0,67.6,0.0,D
82.1,1015.9,229.7,524.4,44.3,217.5,0.0,D
50.4,566.6,337.4,162.4,18.1,48.7,0.0,C
58.1,1305.6,409.2,836.8,22.3,37.3,0.0,D
72.8,858.3,271.6,532.0,24.0,30.8,0.0,C
63.4,999.7,160.9,740.0,34.2,64.6,0.0,D
33.2,523.0,179.0,213.0,18.0,113.0,0.0,D
55.6,1157.0,157.6,772.6,30.0,196.8,0.0,D
20.4,531.5,177.5,320.6,7.5,25.9,0.0,E
18.8,389.1,282.9,69.7,8.0,28.6,0.0,C
62.1,1555.8,478.5,915.9,33.5,127.9,0.0,E
56.5,765.8,371.2,263.7,21.5,26.2,83.2,C
54.7,546.7,269.6,221.2,29.5,26.4,0.0,D
80.0,1394.0,419.8,799.3,43.2,131.8,0.0,E
64.3,1048.9,313.9,653.1,20.7,61.3,0.0,D
36.4,675.9,289.9,328.5,12.5,44.8,0.0,D
20.4,611.2,239.1,341.6,7.2,23.3,0.0,F
58.3,1350.2,304.7,1027.1,18.3,0.0,0.0,E
60.5,1152.2,161.9,907.0,32.6,50.7,0.0,D
72.1,887.4,342.6,404.9,38.9,87.9,13.1,D
100.1,616.7,209.7,236.1,54.0,116.9,0.0,B
83.5,1208.3,342.5,786.2,45.1,34.5,0.0,D
70.3,897.2,196.0,512.8,37.9,150.5,0.0,C
35.2,625.2,289.3,279.3,12.4,44.2,0.0,D
71.2,1706.5,350.5,1255.1,22.0,78.8,0.0,F
73.5,971.6,280.6,417.0,47.4,226.6,0.0,C
97.0,1681.8,176.8,1189.7,48.1,267.3,0.0,D
54.4,892.3,295.0,551.9,17.8,27.7,0.0,D
64.4,1158.4,453.4,543.1,26.8,135.1,0.0,C
336.7,6234.5,398.4,5472.3,149.2,214.7,0.0,E
107.8,1833.7,139.8,1553.1,40.3,69.3,31.2,D
86.1,1151.9,214.1,724.6,32.7,168.1,12.4,C
68.1,1665.3,403.1,1182.4,27.3,52.6,0.0,E
14.3,333.8,274.9,43.6,6.7,8.6,0.0,C
78.7,1721.2,519.1,979.5,35.7,186.8,0.0,D
18.9,352.8,278.1,55.2,8.6,11.0,0.0,C
54.2,2310.0,290.7,2002.7,16.5,0.0,0.0,G
32.8,529.5,260.9,237.9,12.0,18.7,0.0,C
30.7,624.4,247.4,333.4,16.6,27.1,0.0,E
33.0,540.2,130.3,333.0,17.8,59.1,0.0,D
51.9,676.9,334.2,249.1,18.4,75.2,0.0,C
51.9,708.6,276.1,351.6,17.7,63.2,0.0,C
51.0,1736.0,288.3,1431.9,15.8,0.0,0.0,G
42.3,889.9,271.8,604.3,13.8,0.0,0.0,E
39.9,874.0,258.4,602.5,13.1,0.0,0.0,E
127.5,1659.3,412.8,1133.9,39.5,73.1,0.0,C
121.0,1655.0,302.5,1204.0,37.5,82.9,28.0,D
37.6,911.0,260.4,607.4,12.3,30.8,0.0,E
27.8,1118.4,330.1,765.1,12.6,10.7,0.0,F
51.3,862.1,373.6,430.9,21.5,36.1,0.0,D
47.0,1434.0,286.8,1132.4,14.7,0.0,0.0,F
117.2,1935.2,417.6,1330.9,41.5,145.2,0.0,D
31.6,625.0,215.3,372.4,11.1,26.1,0.0,D
21.4,614.7,292.3,285.1,11.0,26.3,0.0,F
33.6,257.6,79.2,120.6,18.1,39.7,0.0,C
76.4,589.0,386.1,105.9,41.2,55.7,0.0,C
83.5,858.1,293.1,390.5,28.3,132.7,13.5,C
16.0,439.8,230.9,192.8,6.3,9.8,0.0,E
66.2,1112.0,350.0,683.9,21.2,56.8,0.0,D
15.8,461.7,224.8,221.3,6.1,9.5,0.0,E
45.4,454.5,258.3,103.7,24.5,67.9,0.0,C
49.0,889.5,194.4,526.0,26.4,142.7,0.0,D
25.3,405.6,282.8,71.6,10.5,40.7,0.0,C
30.7,1108.8,239.8,859.1,9.8,0.0,0.0,G
59.1,1277.0,394.3,759.2,21.5,101.9,0.0,E
85.7,1140.7,431.9,628.6,31.1,26.7,22.4,D
56.4,896.4,183.6,616.8,30.4,48.9,16.7,D
126.2,2831.0,162.7,2588.3,41.2,38.8,0.0,E
93.0,2079.7,386.6,1627.3,37.5,28.4,0.0,E
42.1,1044.1,283.5,703.1,13.5,44.0,0.0,E
42.1,694.1,271.3,361.5,14.4,46.9,0.0,D
59.1,830.2,326.0,421.1,19.6,63.6,0.0,D
53.1,690.3,363.9,249.0,18.2,59.2,0.0,C
82.3,975.7,167.5,556.0,44.4,207.8,0.0,C
86.4,1078.0,211.8,618.9,46.6,200.7,0.0,C
47.3,665.4,192.9,335.4,25.5,111.7,0.0,C
74.0,1755.2,318.6,1413.7,22.9,0.0,0.0,E
49.5,686.8,324.8,255.4,17.0,89.6,0.0,C
81.4,661.1,193.8,319.2,43.9,104.2,0.0,C
68.2,914.3,211.9,392.5,34.4,156.3,119.2,C
38.6,449.5,179.3,150.4,20.8,98.9,0.0,C
79.6,1070.3,184.3,610.4,42.9,232.6,0.0,C
202.8,3969.7,208.2,3216.7,73.7,471.1,0.0,E
46.2,859.3,322.7,377.1,24.9,134.5,0.0,D
297.6,4742.9,855.4,3709.8,95.8,81.9,0.0,D
121.5,3078.3,397.4,2280.1,40.5,143.4,216.9,E
55.4,727.1,211.5,345.0,29.9,140.6,0.0,C
33.6,311.9,116.8,136.9,18.1,40.0,0.0,C
65.9,834.6,248.3,413.3,42.5,130.5,0.0,C
33.8,294.4,133.1,88.6,21.8,50.9,0.0,C
138.9,1903.7,453.8,1254.2,42.8,152.9,0.0,D
175.0,3967.9,426.6,3336.2,113.0,92.1,0.0,D
175.0,3967.9,426.6,3336.2,113.0,92.1,0.0,D
34.5,566.2,282.4,237.1,12.6,34.0,0.0,D
12.9,454.3,176.5,272.8,5.0,0.0,0.0,F
171.0,2970.9,302.8,2363.3,51.9,252.8,0.0,D
87.9,954.8,353.6,446.7,47.4,107.1,0.0,C
73.7,824.9,228.6,366.9,39.7,189.7,0.0,C
109.1,1170.5,280.1,585.9,55.9,248.6,0.0,C
53.4,1026.7,310.2,637.8,17.2,61.5,0.0,E
42.1,1073.9,282.7,733.8,13.5,43.9,0.0,F
39.0,1070.8,259.2,799.1,12.5,0.0,0.0,F
46.6,1306.7,233.7,1058.3,14.7,0.0,0.0,F
38.3,914.5,300.0,602.1,12.5,0.0,0.0,E
22.7,281.8,122.7,96.8,12.3,50.1,0.0,D
19.5,335.5,222.0,41.8,10.5,61.2,0.0,D
25.3,285.7,76.5,159.1,13.7,36.4,0.0,C
60.3,287.8,105.8,97.9,32.5,51.5,0.0,C
91.7,1460.1,343.9,965.2,28.7,122.4,0.0,D
88.1,1691.1,247.8,1327.2,27.3,88.8,0.0,E
23.5,1230.0,295.7,909.6,11.5,13.2,0.0,G
26.2,684.0,313.1,330.5,12.6,27.7,0.0,E
55.8,841.6,170.0,592.7,30.1,48.8,0.0,D
72.4,810.9,209.9,374.5,39.1,187.5,0.0,C
87.0,790.1,0.0,515.1,46.9,228.0,0.0,C
54.1,921.5,181.6,537.9,29.2,172.8,0.0,D
52.8,1604.6,278.3,1309.8,16.4,0.0,0.0,F
78.4,1093.1,358.0,663.5,42.3,29.3,0.0,D
46.7,1114.6,297.7,782.9,14.9,19.1,0.0,E
30.1,681.0,277.8,385.0,11.2,7.0,0.0,D
69.0,481.8,183.3,166.4,37.2,94.8,0.0,B
105.7,1428.8,377.8,965.0,57.0,29.0,0.0,D
65.5,907.3,195.9,485.8,35.4,163.3,26.9,C
92.7,1547.3,423.8,1051.6,35.9,36.0,0.0,D
74.8,1319.5,410.7,779.4,24.4,105.0,0.0,D
102.6,1254.6,396.8,709.3,32.4,116.0,0.0,C
127.8,1262.2,410.4,584.7,68.9,170.8,27.4,C
81.0,1285.1,335.4,691.5,43.7,214.5,0.0,D
75.2,1222.2,344.4,605.9,40.6,200.2,31.0,D
34.0,328.2,229.9,30.9,18.3,49.1,0.0,C
32.1,921.7,214.7,620.6,17.3,69.0,0.0,G
46.5,1042.4,228.5,725.8,15.0,73.1,0.0,E
27.5,574.4,218.8,345.7,9.8,0.0,0.0,D
45.0,285.0,92.9,123.4,24.3,44.4,0.0,C
64.2,276.7,109.2,80.4,34.6,52.5,0.0,B
64.2,309.4,109.0,113.3,34.6,52.5,0.0,C
45.0,296.5,92.7,135.0,24.3,44.5,0.0,C
37.8,564.7,325.7,194.3,13.8,30.9,0.0,C
15.4,384.9,282.5,79.2,6.7,16.5,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
27.0,598.6,353.9,190.6,14.6,39.6,0.0,E
58.0,1017.6,492.1,409.4,31.3,84.8,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
30.0,640.9,368.9,211.8,16.2,44.0,0.0,E
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
30.0,640.9,368.9,211.8,16.2,44.0,0.0,E
25.0,570.4,343.8,176.5,13.5,36.7,0.0,E
58.0,1017.6,492.1,409.4,31.3,84.8,0.0,D
58.0,1017.6,492.1,409.4,31.3,84.8,0.0,D
58.0,1017.6,492.1,409.4,31.3,84.8,0.0,D
31.0,655.0,374.0,218.8,16.7,45.5,0.0,E
89.0,1385.6,579.4,628.2,48.0,130.0,0.0,D
61.0,1053.2,500.6,430.6,32.9,89.2,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
45.0,852.2,444.4,317.6,24.3,65.9,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
61.0,1053.2,500.6,430.6,32.9,89.2,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
58.0,1017.6,492.1,409.4,31.3,84.8,0.0,D
30.0,640.9,368.9,211.8,16.2,44.0,0.0,E
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
30.0,640.9,368.9,211.8,16.2,44.0,0.0,E
30.0,640.9,368.9,211.8,16.2,44.0,0.0,E
61.0,1053.2,500.6,430.6,32.9,89.2,0.0,D
25.0,570.4,343.8,176.5,13.5,36.7,0.0,E
31.0,655.0,374.0,218.8,16.7,45.5,0.0,E
61.0,1053.2,500.6,430.6,32.9,89.2,0.0,D
31.0,655.0,374.0,218.8,16.7,45.5,0.0,E
31.0,655.0,374.0,218.8,16.7,45.5,0.0,E
30.0,640.9,368.9,211.8,16.2,44.0,0.0,E
56.0,993.9,486.5,395.3,30.2,81.9,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
45.0,852.2,444.4,317.6,24.3,65.9,0.0,D
25.0,570.4,343.8,176.5,13.5,36.7,0.0,E
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
59.0,1029.5,494.9,416.4,31.8,86.3,0.0,D
58.0,1017.6,492.1,409.4,31.3,84.8,0.0,D
42.0,809.9,429.3,296.5,22.7,61.5,0.0,E
30.0,640.9,368.9,211.8,16.2,44.0,0.0,E
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
90.0,1397.5,582.3,635.3,48.6,131.4,0.0,D
30.0,640.9,368.9,211.8,16.2,44.0,0.0,E
90.0,1397.5,582.3,635.3,48.6,131.4,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
44.0,838.1,439.4,310.6,23.7,64.4,0.0,D
70.0,1160.1,525.9,494.1,37.8,102.3,0.0,D
58.0,1017.6,492.1,409.4,31.3,84.8,0.0,D
27.0,598.6,353.9,190.6,14.6,39.6,0.0,E
